objid1,objid2
1237652944249618469,1237652944249618470
1237649921117323296,1237649921117323417
1237649921117323295,1237649921117323417
1237649921117323417,1237653652919156841
1237655499210293508,1237678618510819488
1237655499210293388,1237678618510819488
1237663237128519791,1237666299483258896
1237663237128519791,1237666299480506545
1237663237128519791,1237663237128781952
1237663237127733260,1237663237128519791
1237663237128519791,1237666299481227537
1237660024524767287,1237663237128519791
1237666300018360512,1237666300019277882
1237666300018360472,1237666300018360512
1237657070091960362,1237666300018360512
1237666300018229273,1237666300018360512
1237660239777562754,1237666300018360512
1237663787417403772,1237663916264784126
1237663916267536477,1237663916267536572
1237654654179934334,1237654654179934341
1237651752922251498,1237651752922316814
1237651752920875233,1237651752922251498
1237662194522390648,1237662194522390649
1237658492815016056,1237658492815016057
1237665226767204488,1237665226767204513
1237648722311381019,1237663783130824887
1237651735222354083,1237651735226417233
1237651735226417233,1237671126979379364
1237651735226417233,1237671267108192327
1237651735226417233,1237651753479438356
1237651735226417233,1237651752405565444
1237667783377879249,1237667783377944679
1237651822708392151,1237654880736575689
1237655742409736258,1237655742409867289
1237655742409867289,1237655742410195023
1237655742409801983,1237655742409867554
1237655742409801983,1237655742409867554
1237651823251554554,1237651823251620129
1237651823251554554,1237651823251620129
1237662266463486174,1237662266463486396
1237662266463420643,1237662266463486174
1237662266463289500,1237662266463486174
1237662267000422406,1237662267000553867
1237655742946672782,1237662267000553867
1237655743483281567,1237655743483281580
1237678617434456120,1237678617437143076
1237678617435898005,1237678617437143076
1237678617435963410,1237678617437143076
1237663237128388873,1237663237128585284
1237663788486885423,1237663788486885694
1237663788486885694,1237663788486885695
1237650796751683916,1237663542602236886
1237671260128411752,1237671260128411796
1237671260128411724,1237671260128411796
1237671261202612492,1237671261202677977
1237651754532339946,1237651754532864162
1237651754532339946,1237653665258143869
1237654604245827767,1237654604246024391
1237658492814688391,1237658492814688415
1237658492814688353,1237658492814688391
1237658492814688391,1237658492814688415
1237658492814688391,1237658492814688443
1237667444043284567,1237667444043284577
1237667210528358451,1237667210528358554
1237667210528358514,1237667210528358554
1237665227305582615,1237665227305582718
1237648705655996560,1237648705655996579
1237651755090903183,1237651755090968711
1237651755090968586,1237651755090968711
1237651755090968711,1237678879416778835
1237651755090968711,1237678879416778835
1237661974941073556,1237661974941073574
1237662266457587852,1237662266457653457
1237665329326653556,1237665329326653573
1237651822173618380,1237651822173683921
1237651822173552694,1237651822173683921
1237651822173552809,1237651822173683921
1237651822173618435,1237651822173683921
1237651822173487316,1237651822173683921
1237651822173683921,1237651822173749500
1237651822173683921,1237651822173814992
1237651822173683921,1237651822173814992
1237651822173618188,1237651822173683921
1237655742942150893,1237655742942281920
1237661851480358932,1237661851480358934
1237648702984159437,1237648702984159506
1237655693015056396,1237678437015027734
1237651823251554554,1237651823251620129
1237651823251554554,1237651823251620129
1237652628567687214,1237652628567687215
1237652628567687215,1237652946384126156
1237652628567621718,1237652628567687215
1237662224594239500,1237668289084195002
1237662224594239500,1237664871360823439
1237651538725175310,1237662224594239500
1237657776077930777,1237662224594239500
1237661069237748268,1237662224594239500
1237655125003075712,1237662224594239500
1237655125003075712,1237662224594239500
1237662224594239500,1237665127468499000
1237662224594239500,1237665330922127541
1237658312406728745,1237662224594239500
1237657609112584340,1237662224594239500
1237662224594239500,1237667912753873138
1237662224594239500,1237678578758713627
1237662224594239500,1237668297144467617
1237662224594239500,1237662638524203547
1237662224594239500,1237668310552215782
1237662224594239500,1237662225704485264
1237662224594239500,1237665440983941261
1237662224594239500,1237663786888396911
1237662224594239500,1237667736128847904
1237662224594239500,1237668272978788401
1237662224594239500,1237664668444786700
1237662194530058317,1237662224594239500
1237654948913217704,1237662224594239500
1237662224594239500,1237667447800987712
1237660413725835570,1237662224594239500
1237662224594239500,1237665368508399677
1237661357539393677,1237662224594239500
1237662224594239500,1237667912214642877
1237662224594239500,1237668297683959938
1237648705133740230,1237662224594239500
1237655109455577221,1237662224594239500
1237662224594239500,1237680074469540007
1237662224594239500,1237668314847379493
1237655472357310527,1237662224594239500
1237662193988599921,1237662224594239500
1237662224594239500,1237667430105546838
1237660958642078107,1237662224594239500
