objid1,objid2
1237652944249618469,1237652944249618470
1237663787417403772,1237663916264784126
1237662194522390648,1237662194522390649
1237658492815016056,1237658492815016057
1237648722311381019,1237663783130824887
1237667783377879249,1237667783377944679
1237663237128388873,1237663237128585284
1237671261202612492,1237671261202677977
1237667444043284567,1237667444043284577
1237665227305582615,1237665227305582718
1237665329326653556,1237665329326653573
1237661851480358932,1237661851480358934
1237648702984159437,1237648702984159506
1237650370488893524,1237650761860513912
1237654653642145899,1237654653642145900
1237662225129603189,1237662225129603203
1237660635993800748,1237660635993800749
1237668348670836921,1237668348670836922
1237665531710406836,1237665531710472228
1237654881273839804,1237654881273905294
1237652901304533092,1237652901304598569
1237660765904437751,1237660765904437802
1237653587944210658,1237653587944210877
1237671260658729060,1237671260658729322
1237654382514536706,1237654382514602084
1237657873254514800,1237657873254514818
1237658304349208731,1237658304349208732
1237664338790187097,1237664338790187098
1237648720158064898,1237648720158064929
1237667912204353727,1237667912204353762
1237651735229235450,1237651735229235463
1237668297139290153,1237668297139290280
1237667911143850077,1237667911143850079
1237661381703696541,1237661381703696560
1237657401335152780,1237657401335152940
1237663788494815378,1237663788494815422
1237661383312867619,1237661383312867620
1237654605866664101,1237655125539487799
1237671128051286222,1237671142016942200
1237654879114690697,1237654879114756167
1237652630715170921,1237662236933488724
1237667549804953704,1237667549805019183
1237651735221960833,1237651735221960873
1237651755085791314,1237651755085922464
1237665024368050335,1237665024368050346
1237667322186891379,1237667322186956941
1237655494906478902,1237655494906478956
1237668330953179231,1237668348674048008
1237655691942560087,1237655691942625567
1237648721749147894,1237648721749606633
1237658493342580875,1237658493342580920
1237667916490604564,1237668294986760211
1237657591931469894,1237657591931469897
1237658492279521443,1237671129667207364
1237658492823601278,1237658492823601359
1237658492823208070,1237658492823208092
1237665567153062312,1237665567153062387
1237661068700811580,1237661068700811917
1237679437740048387,1237679437740048428
1237671123226722351,1237671123226722377
1237668271358541974,1237668271358541999
1237668271895740567,1237668271895740586
1237655743483215953,1237655743483215955
1237663275781521550,1237663275781521580
1237661972255736012,1237661972255736013
1237654668664963295,1237654668665028674
1237654605863452729,1237654605863453039
1237651495225065709,1237651495225131011
1237667142865518598,1237667142865518781
1237658203962015832,1237658203962015861
1237648720146530485,1237648720146595857
1237651735748083871,1237651735748083905
1237665025983840473,1237665025983840490
1237671958053781518,1237671991339188342
1237662198820307016,1237662198820307062
1237648720176283907,1237678617437077647
1237668292832854039,1237668292832854092
1237654601571106989,1237655125539160202
1237661977084035257,1237661977084100629
1237651737374490731,1237651737374490744
1237662267537162308,1237662267537162602
1237662530071167225,1237662530071232737
1237667781205360666,1237667781205360805
1237671260129984715,1237671260129984743
1237654601567633656,1237654601567699076
1237654601567633748,1237654605862600937
1237658423540711816,1237658423540777217
1237667106891366572,1237667254530605374
1237667211591286871,1237667211591286887
1237667444044398611,1237667444044398613
1237668298211065986,1237668298211065987
1237667322726711307,1237667322726711392
1237655107845030041,1237655107845030051
1237668271904129184,1237668271904129215
1237662266464272798,1237662266464403727
1237655744020480056,1237655744020480396
1237662268611232157,1237662268611428706
1237661066016588133,1237661068700811404
1237671123226919120,1237671260128805207
1237655125009498283,1237655125009498294
1237665025449197581,1237665025449197729
1237655498673422353,1237655498673422507
1237662636371607885,1237662636371607925
1237654653098197365,1237654653098197382
1237670595479339181,1237670964846592202
1237657855536529673,1237657855536529687
1237648705651015839,1237648722842615820
1237665128012316718,1237665128012316876
1237668495773335576,1237668495773335726
1237664817671438373,1237664817671438375
1237667212677218496,1237667255626694758
1237658800432742588,1237658800432742631
1237665026510946316,1237665026510946420
1237667324329394357,1237667444043481170
1237657608573354164,1237657608573419635
1237660343935041576,1237660343935041725
1237661811197804624,1237661811197804721
1237664819291554000,1237664819291554001
1237667781199003823,1237667781199003833
1237665330926518346,1237665330926518367
1237668588655607839,1237668623018754088
1237662268074230050,1237662268074230114
1237679460291248436,1237679460291313700
1237653586333925382,1237654653636051007
1237661139572162741,1237661871320793258
1237648720151052338,1237648720151445778
1237651274047815821,1237651274047815826
1237658203420492052,1237658203420557323
1237654652033040389,1237654652033040392
1237665024903348299,1237665024903348373
1237664818754093194,1237664818754158684
1237656496727326954,1237656496727327024
1237654652557263389,1237654652557263411
1237667113870819459,1237667113870819481
1237671956447428685,1237671990269837527
1237665429172256904,1237665429172256941
1237649918969381002,1237649918969381019
1237667109034459391,1237667142858113053
1237665015240196193,1237665015240196214
1237658492816261278,1237658492816326713
1237665101142294689,1237665101142294714
1237661360770580658,1237661463299358727
1237649962993975514,1237649962994040905
1237667211039801937,1237667211039932521
1237651189747286068,1237653589024243722
1237667733958099030,1237667733958099031
1237667911676002435,1237667911676002497
1237662306188001361,1237662306188001362
1237661387608424652,1237661387608424657
1237662267539456304,1237662267539521877
1237661136881385589,1237661136881385609
1237665016846680082,1237665016846680144
1237655109447647255,1237655109447647368
1237669767623409788,1237669767623475252
1237668495238561996,1237668585429336280
1237651737369313469,1237651737369444456
1237661871871361089,1237661871871361180
1237661851473739819,1237661851473739820
1237651735767285877,1237651752946958353
1237661211507753048,1237661211507753193
1237655499211276609,1237655499211407685
1237662337863975071,1237662337863975100
1237654386267324461,1237654386267324462
1237664336639492202,1237665026509963353
1237662195597967381,1237662195597967546
1237654879660867725,1237655124483244246
1237668272439951553,1237668272440016904
1237654879670698356,1237654879670763934
1237662698107896080,1237662698107961558
1237665329850024082,1237665329850024099
1237657611266621551,1237657611266621567
1237651755095490714,1237671992951374032
1237664673795145746,1237664853642379321
1237662223544877238,1237662223544877264
1237649918971805844,1237649918971805886
1237661068724207645,1237661068724207699
1237667252940374186,1237667252940374199
1237661967965880340,1237662195599278196
1237667444586119179,1237667444586119281
1237665103282896923,1237665103282896924
1237662636903498041,1237662636903563569
1237652943176138868,1237652943176139008
1237661382230343839,1237661382230343864
1237654398079336603,1237654398079336604
1237667210528948228,1237667210528948295
1237658311333904565,1237658311333904602
1237667734515220505,1237667782304202806
1237668271364243583,1237668271364243601
1237654653635919928,1237654653635920245
1237668293370249366,1237668293370249382
1237664814452047937,1237664814452047992
1237668495236399249,1237668495236399269
1237668288014254203,1237668496851664965
1237658492280897661,1237658492280897710
1237668332027969723,1237668332028035300
1237668270841856150,1237668270841856437
1237662337867907160,1237662337867907409
1237654601566388473,1237654605324157159
1237667550881120322,1237667550881120323
1237651538719866982,1237651538719866983
1237662697575219515,1237662697575219589
1237661976548081689,1237661976548081779
1237662197747155128,1237662197747155162
1237661125071470838,1237661125071471036
1237664285632102957,1237664285632102983
1237667536926671194,1237667536926736669
1237665226230792289,1237665226230792311
1237668330953572438,1237668330953637980
1237654880742867187,1237654880742867216
1237661381695963175,1237661381695963176
1237660344472699093,1237660344472699148
1237667254548168908,1237667254548234336
1237651823244869839,1237651823244869869
1237667783393083659,1237667783393083668
1237662663218430300,1237662663218495678
1237678808532648241,1237678808532648266
1237649921119223868,1237649921119224073
1237665368506761410,1237665368506761448
1237665330382831734,1237665330382831742
1237665024900858108,1237665024900858129
1237650760778973286,1237650760779038917
1237661356469846120,1237661356469846136
1237667444582449325,1237667444582449333
1237671762638471408,1237671762638536789
1237667734522953939,1237667734522954003
1237667736137040205,1237667736137040206
1237665566076043318,1237665566076043506
1237651752921202806,1237651752921268388
1237658300056600609,1237658300056600899
1237662237476192357,1237670956789596313
1237662264852414589,1237662264852414694
1237659326560207071,1237659326560272400
1237662223554970018,1237662223554970024
1237664094514839799,1237664094514905283
1237667539085557903,1237667539085623427
1237662196138442858,1237662196138442859
1237651754028433605,1237651754028433609
1237662306197766493,1237662306197766519
1237665355620089933,1237665355620090115
1237665128004780110,1237665128004780139
1237665440978698336,1237665440978698364
1237649961916956774,1237652899694706881
1237653588484620318,1237653588484685929
1237667292114387095,1237667429554978919
1237668293372674063,1237668293372674064
1237658803108904966,1237658803108905007
1237657591930880154,1237657591930880171
1237671128053514317,1237672793421316239
1237658424635424925,1237658424635490445
1237661950790664225,1237661950790729836
1237662696497021002,1237662696497021125
1237648720164290653,1237648720164880476
1237662530606203025,1237662637441089654
1237663918414889018,1237663918414889326
1237651752927166579,1237651752927166630
1237663783121256579,1237674651000307922
1237667966959354006,1237667966959354042
1237668365851951463,1237668365851951470
1237657607495352458,1237657607495418205
1237660765917741092,1237661851992784978
1237667212663652473,1237667212663717929
1237651250955157642,1237651250955157648
1237665025436811417,1237665025436876984
1237665329862213709,1237665329862213732
1237658422474768505,1237658422474768527
1237662195596001334,1237662195596066960
1237665566607737060,1237667912216477987
1237670955716509784,1237670955716509795
1237667211040325932,1237667211040325971
1237667430632063050,1237667430632063178
1237665097390227562,1237665097390227604
1237660961330888850,1237660961330888873
1237661068712870014,1237661068712935616
1237665128542109726,1237665128542109883
1237665025976631419,1237665025976631433
1237667538549473420,1237667538549473429
1237667914883858449,1237668297668296825
1237661849864896528,1237661849864896574
1237667782309511256,1237667782309511267
1237665440450478110,1237665440450478111
1237661463837212954,1237661463837278363
1237665567158501533,1237665567158567036
1237651250443714668,1237655129303416848
1237652616741650437,1237662238011293863
1237673809190191279,1237673809190191442
1237664836460937354,1237664836460937658
1237664092895052261,1237664092895117614
1237657634334507249,1237657771779751958
1237661068174098552,1237661068174163975
1237660764833513650,1237660764833513652
1237670451059294258,1237670451059294354
1237660764843737186,1237661851455717389
1237668495773270131,1237668495773270154
1237661950251958386,1237661950252023932
1237662225141858400,1237662225141858424
1237665178983006286,1237665178983006290
1237668272438706317,1237668272438706321
1237665533330063398,1237665533330063680
1237668270841790582,1237668350295081118
1237661465990398122,1237662337867841910
1237657612341543027,1237657612341543037
1237664673788198940,1237664673788199058
1237655126087893031,1237655126087893067
1237668297144664259,1237668297144729663
